sofifa_id,nationality,club_name,league_name
257319,France,FC Sochaux-Montbéliard,French Ligue 2
242420,Italy,Torino,Italian Serie A
247479,Germany,Borussia Dortmund,German 1. Bundesliga
247658,Sweden,SC Heerenveen,Holland Eredivisie
248118,Romania,FC Viitorul,Romanian Liga I
251147,Turkey,Trabzonspor,Turkish Süper Lig
251524,France,Le Havre AC,French Ligue 2
255190,Spain,Rayo Vallecano,Spanish Segunda División
256817,Finland,AIK,Swedish Allsvenskan
256899,Italy,Milan,Italian Serie A
245988,Republic of Ireland,Celtic,Scottish Premiership
248049,Romania,CFR Cluj,Romanian Liga I
248384,Bulgaria,SV Werder Bremen,German 1. Bundesliga
248487,Korea Republic,Jeonbuk Hyundai Motors,Korean K League Classic
254565,Argentina,Club Atlético Aldosivi,Argentina Primera División
255377,England,Fulham,English Premier League
255928,Ivory Coast,FC Nordsjælland,Danish Superliga
256616,Argentina,Independiente,Argentina Primera División
256880,France,Olympique de Marseille,French Ligue 1
257180,Italy,Sampdoria,Italian Serie A
257380,Argentina,San Lorenzo de Almagro,Argentina Primera División
257711,Italy,Roma,Italian Serie A
258031,Germany,Hertha BSC,German 1. Bundesliga
258437,Netherlands,Sparta Rotterdam,Holland Eredivisie
258730,Spain,RC Celta,Spain Primera Division
238075,England,Colchester United,English League Two
239915,Portugal,FC Paços de Ferreira,Portuguese Liga ZON SAGRES
241055,Spain,RC Celta,Spain Primera Division
246402,Denmark,Brentford,English League Championship
246957,Netherlands,SC Heerenveen,Holland Eredivisie
247336,Northern Ireland,Leeds United,English Premier League
251548,England,AFC Wimbledon,English League One
252794,Spain,Manchester City,English Premier League
254303,Israel,ADO Den Haag,Holland Eredivisie
254820,Poland,Wisła Płock,Polish T-Mobile Ekstraklasa
256418,Norway,Odds BK,Norwegian Eliteserien
256884,France,Olympique de Marseille,French Ligue 1
257096,France,CD Nacional,Portuguese Liga ZON SAGRES
237930,Denmark,Aarhus GF,Danish Superliga
237937,Norway,Vålerenga Fotball,Norwegian Eliteserien
241040,England,Lincoln City,English League One
241263,England,Swindon Town,English League One
241930,Argentina,San Lorenzo de Almagro,Argentina Primera División
242114,Saudi Arabia,Ettifaq FC,Saudi Abdul L. Jameel League
242974,Germany,1. FC Heidenheim 1846,German 2. Bundesliga
243468,Colombia,Deportivo Cali,Colombian Liga Postobón
243516,France,AS Nancy Lorraine,French Ligue 2
244196,England,Brentford,English League Championship
246874,England,Leeds United,English Premier League
251317,Germany,Bayern München II,German 3. Bundesliga
251845,Ghana,FC Nordsjælland,Danish Superliga
252175,Paraguay,Defensa y Justicia,Argentina Primera División
252391,Portugal,CD Tondela,Portuguese Liga ZON SAGRES
252866,Spain,RC Celta,Spain Primera Division
252964,Italy,Cagliari,Italian Serie A
254129,Venezuela,Inter Miami,USA Major League Soccer
254465,Sweden,AIK,Swedish Allsvenskan
255137,Ecuador,Los Angeles FC,USA Major League Soccer
255268,Spain,CA Osasuna,Spain Primera Division
255339,Canada,Toronto FC,USA Major League Soccer
255566,Portugal,UD Almería,Spanish Segunda División
255972,Argentina,Club Atlético Huracán,Argentina Primera División
256780,Germany,Hertha BSC,German 1. Bundesliga
257072,Norway,Viking FK,Norwegian Eliteserien
257254,England,Burnley,English Premier League
258218,Turkey,Fatih Karagümrük S.K.,Turkish Süper Lig
258389,Netherlands,ADO Den Haag,Holland Eredivisie
258683,Serbia,Hellas Verona,Italian Serie A
226800,England,Northampton Town,English League One
234365,Norway,FK Haugesund,Norwegian Eliteserien
236627,Germany,SG Dynamo Dresden,German 3. Bundesliga
237699,England,Oldham Athletic,English League Two
239682,Chile,Audax Italiano,Chilian Campeonato Nacional
240428,Chile,Audax Italiano,Chilian Campeonato Nacional
240777,Italy,Fiorentina,Italian Serie A
240913,Republic of Ireland,Liverpool,English Premier League
241495,France,Stade Malherbe Caen,French Ligue 2
241646,England,Blackburn Rovers,English League Championship
241817,France,En Avant de Guingamp,French Ligue 2
242850,Germany,FC Augsburg,German 1. Bundesliga
243239,Switzerland,FC St. Gallen,Swiss Super League
244477,Russia,Montpellier HSC,French Ligue 1
244543,France,Montpellier HSC,French Ligue 1
244577,Spain,Real Zaragoza,Spanish Segunda División
244690,South Africa,Varbergs BoIS,Swedish Allsvenskan
244956,Argentina,Club Atlético Banfield,Argentina Primera División
245150,Mexico,Club Atlas,Mexican Liga MX
246040,France,ESTAC Troyes,French Ligue 2
246297,France,Le Havre AC,French Ligue 2
246879,Guinea,Vålerenga Fotball,Norwegian Eliteserien
247761,France,En Avant de Guingamp,French Ligue 2
248073,Romania,FCSB (Steaua),Romanian Liga I
248471,Austria,Wolfsberger AC,Austrian Football Bundesliga
251499,Austria,LASK Linz,Austrian Football Bundesliga
251633,Poland,Lech Poznań,Polish T-Mobile Ekstraklasa
252470,Portugal,FC Paços de Ferreira,Portuguese Liga ZON SAGRES
252903,Japan,Fortuna Düsseldorf,German 2. Bundesliga
252913,Spain,Girona FC,Spanish Segunda División
